종류,품종,시도,시군구,발생장소,구조일자
개,풍산개,대전광역시,동구,용전동 중부고속주유소 주변,2017-01-01
고양이,코리안숏헤어,대전광역시,중구,산성동 134-1번지 주변,2017-01-02
개,푸들,대전광역시,서구,도마동 양지타운@ 3동 인근,2017-01-01
개,푸들,대전광역시,서구,용문동 로랜드빌 인근,2017-01-01
개,시츄,대전광역시,서구,갈마지구대 인근,2017-01-01
고양이,코리안숏헤어,대전광역시,서구,괴정주유소 인근,2017-01-01
개,삽살개,대전광역시,서구,둔산동 한신@ 내,2017-01-01
기타,닭,대전광역시,서구,혜천대 운동장,2017-01-01
기타,고슴도치,대전광역시,서구,도마동 효성타운@ 상가 내,2017-01-02
고양이,코리안숏헤어,대전광역시,서구,성심요양병원 내,2017-01-02
개,포메라이언,대전광역시,동구,자양동 동아@ 주변,2017-01-02
개,믹스,대전광역시,동구,세천동 세종골 주변,2017-01-02
개,믹스,대전광역시,동구,세천동 세종골 주변,2017-01-02
개,푸들,대전광역시,유성구,갑동 동양애견 인근,2017-01-01
개,시츄,대전광역시,유성구,봉산동 휴먼시아@ 내,2017-01-01
개,비글,대전광역시,유성구,장대동 인근,2017-01-01
개,진도,대전광역시,유성구,한밭대 정문 인근,2017-01-01
개,진도,대전광역시,유성구,송강동 49-5 인근,2017-01-01
고양이,러시안블루,대전광역시,유성구,원내동 313-2 내,2017-01-01
개,스피츠,대전광역시,유성구,유성IC주유소 내,2017-01-01
개,마리노이즈,대전광역시,유성구,봉산동 휴먼시아@ 내,2017-01-02
개,푸들 믹스,대전광역시,유성구,동물보호센터 인근,2017-01-02
개,말티즈,대전광역시,대덕구,오정동 한몸교회 주변,2017-01-02
고양이,코리안숏헤어,대전광역시,서구,문정초교 운동장,2017-01-01
개,믹스,대전광역시,중구,태평동 파라곤@ 주변,2017-01-03
고양이,코리안숏헤어,대전광역시,대덕구,덕암동 48-16번지 주변,2017-01-02
개,진도,대전광역시,대덕구,오정동 78-3번지 주변,2017-01-04
개,푸들,대전광역시,서구,월평주공1단지 내,2017-01-02
개,진도,대전광역시,서구,서우@2단지 인근 로상,2017-01-03
고양이,앙고라,대전광역시,서구,경성큰마을 정문 인근,2017-01-03
고양이,코리안숏헤어,대전광역시,서구,"동서대로 997번길 56, 2층",2017-01-03
고양이,코리안숏헤어,대전광역시,서구,내동초등학교 인근,2017-01-03
개,진도,대전광역시,유성구,봉산동 206-7번지 인근,2017-01-02
고양이,코리안숏헤어,대전광역시,유성구,관평동 계백갈비식당 내,2017-01-03
개,말티즈,대전광역시,유성구,송강마을@ 2단지 내,2017-01-03
고양이,코리안숏헤어,대전광역시,유성구,리원식당 인근,2017-01-03
개,진도,대전광역시,유성구,가스기술공사 내,2017-01-04
개,비글,대전광역시,유성구,유성경찰서 인근,2017-01-04
개,푸들,대전광역시,대덕구,대화동 두레@ 주변,2017-01-05
개,닥스훈트,대전광역시,대덕구,상서동 295-5번지 세보에너지 주변,2017-01-05
개,시츄,대전광역시,동구,용전초등학교 주변,2017-01-05
개,믹스,대전광역시,서구,괴곡동 평강교회 내,2017-01-05
개,푸들,대전광역시,유성구,유성홈플러스 인근,2017-01-04
고양이,코리안숏헤어,대전광역시,유성구,원내동 병천순대 인근,2017-01-04
개,믹스,대전광역시,유성구,월드컵경기장역 인근,2017-01-05
개,믹스,대전광역시,유성구,노은동수산시장 서문 인근,2017-01-05
개,스피츠,대전광역시,중구,사정동 442-5번지 주변,2017-01-06
개,믹스,대전광역시,대덕구,중리동 중리네거리 주변,2017-01-05
고양이,코리안숏헤어,대전광역시,대덕구,중리동 증산도 주변,2017-01-06
고양이,샴,대전광역시,동구,자양동 우송대 솔펫동물병원 주변,2017-01-05
개,진도,대전광역시,동구,판암동 하나은행 주변,2017-01-05
