번호,구조일자,종류,품종,시군구,발생장소
1,2020-01-01,개,웰시코기,중구,부사동 260-1번지 주변
2,2020-01-01,개,삽살개,중구,문화동 극동@ 주변
3,2020-01-01,개,푸들,유성,하기동 50-1번지 주변
4,2020-01-01,개,푸들,유성,수통골로 47-7 뜨레돌체 커피숍 주변
5,2020-01-01,개,믹스,유성,상대동 471-10번지 주변
6,2020-01-01,개,진도,동구,실전사거리 인근
7,2020-01-01,개,리트리버,대덕,덕암로 148번길 7 주변
8,2020-01-01,개,진도,대덕,한밭대로 988번길 77 주변
9,2020-01-02,개,말티즈,중구,산성동 산성주민센터 주변
10,2020-01-02,고양이,코리안숏헤어,유성,학하동 칠성음료 주변
11,2020-01-02,개,믹스,대덕,장동 제3탄약창 주변
12,2020-01-02,개,믹스,중구,대사동 233-39번지 주변
13,2020-01-02,개,믹스,유성,관평동 롯데마트 주변
14,2020-01-03,개,믹스,유성,갑동 8번길 75 주변
15,2020-01-03,개,믹스,유성,갑동 8번길 75 주변
16,2020-01-01,개,믹스,서구,관저동 원앙2단지 인근
17,2020-01-01,개,푸들,서구,서구청당직실
18,2020-01-02,개,스피츠,서구,도마동 열매교회 인근
19,2020-01-02,개,말티즈,서구,도마애견
20,2020-01-02,고양이,코리안숏헤어,서구,내동 주택가
21,2020-01-02,고양이,코리안숏헤어,동구,낭월동 석천들@ 인근
22,2020-01-03,개,믹스,동구,낭월동 석천들@ 인근
23,2020-01-03,개,말라뮤트,유성,구성동 카이스트 정문 갑천도로 주변
24,2020-01-03,개,진도,중구,구완동 122번지 주변
25,2020-01-03,개,리트리버,대덕,송촌동 560-15번지 주변
26,2020-01-03,개,리트리버,대덕,대화동 세원풍남@ 주변
27,2020-01-03,개,진도,중구,석교동 석교치안센터 주변
28,2020-01-03,개,말티즈,중구,유천동 322-13번지 주변
29,2020-01-04,기타,염소,유성,계백로 324번길 에스오일주유소 주변
30,2020-01-05,개,웰시코기,중구,문창동 117-7번지 주변
31,2020-01-06,개,믹스,대덕,상서동 175-1번지 주변
32,2020-01-06,개,믹스,대덕,상서동 175-1번지 주변
33,2020-01-06,개,믹스,대덕,상서동 175-1번지 주변
34,2020-01-06,개,믹스,대덕,상서동 175-1번지 주변
35,2020-01-06,개,믹스,대덕,상서동 175-1번지 주변
36,2020-01-06,개,믹스,대덕,상서동 175-1번지 주변
37,2020-01-06,개,믹스,대덕,상서동 175-1번지 주변
38,2020-01-06,개,믹스,대덕,상서동 175-1번지 주변
39,2020-01-06,개,믹스,대덕,상서동 175-1번지 주변
40,2020-01-06,개,믹스,대덕,상서동 175-1번지 주변
41,2020-01-03,개,믹스,서구,갈마동 골든빌라
